client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
00629ef5283de6396fb220d873d360b001eee93946c70473d949026bc9473a79275502f92d1000fedafed7fd5770c8cec6e425b53d3602ea2b49cb5dc5ff4fb0	common_voice_en_36938066.mp3	One day at noon a woman fell asleep among the reapers in the field.	2	0					en	
0365b018a15ab96510f1368f4910554f97f6c278320e780c89e4989e9fdef0e557feb655cc9a89282ab0b8effbf5c920cf83193d6e0536e03d2ea84c6dca7559	common_voice_en_36827090.mp3	Then they scrambled round the rocks to the other side of the house.	2	0			Filipino		en	
040c5f7d97439fed61c9d3fcee6f7addc2ebf2ad6a37b0743023754cdc56f1381dbbb99b1dc2766e769f838519388b7bee6a104349a730f9d7a17ee3a659b7f1	common_voice_en_36998293.mp3	"Dollar shops" sell the rest.	2	0					en	
045edc6abc782d44bafdaf8fe589fb6c80a61c79600bbb8f836c76c982e5f34fea5404909c8d7bc3f5c7d25bc200f351f473abbb4ba8767225d6f909f798ea77	common_voice_en_37238108.mp3	My very best concert bonnet.	2	0					en	
057b228da4bf607b2ae29c1356bb6488388dce661f6c4d2a50e61883a94dd4d6bc2cd0d2e659e4411377bf1720ca52a27cbc1de1dd3cec9a15d3f92669a990c0	common_voice_en_36965345.mp3	This time, however, as the padded envelopes were defused, there were no injuries.	2	0					en	
069108dd8624bd2f7a4faa4a9bdd35157d76fea866d16b0ce35743c83674a669d57d685c81a86ab6f99f9ba00681cedaa2bf8ff5f3afd8bc2335b047d06f183f	common_voice_en_37052414.mp3	Latter Day Saint denominations disagree as to the impact and meaning of these ceremonies.	2	1	teens	male			en	
09b780c168b3dc8fc92e571f3f9f543301b1b71c1c25867b23d6ec5a0bb1c89cdfd90376dde61215f186ad01f4793fe11dcc2a2f2665ba1f1490aa2451d3d9e7	common_voice_en_36651067.mp3	The "NitroPhone two a" is also worth a look.	2	0					en	
09e23a6d6a9087a928cd4b887db2dcc13932f13520ad469b72ff5e87d82269ce60db1cc6f798591d13d71d586e8e28bb071c72111704f986c95e319a131c3c95	common_voice_en_37109524.mp3	Followers of Glabados use the word "Faram" to affirm their prayers.	2	0					en	
0c5c270a2e7a64f9d446f593d2258f335a5fbd764536e8d8b51a0256979a477af073c07ccdb1776652b76317485d592d5720254c480431db8a6cba5349605a3a	common_voice_en_37030028.mp3	The title role was sung by Daniel Beretta, and Maria Magdalena was Anne-Marie David.	2	0			United States English		en	
0ef8b8162443b3f913f13b1951877aa4ec87f3420de2c62fe56e4c4d7e845bf5ab65d7ab03c0c57507e38713f9338c483fa133a4c935e41e2d37b3c14f32252c	common_voice_en_36694211.mp3	There is no cure and no standard course of treatment for Coffin-Lowry syndrome.	2	0			United States English		en	
11096061c3975fffe3b7299fab6144c833dabef5d4bd82f1f3a568bb621f7c3f9ee1964381f5e43485f89cdd675fb3f79403b92f46bfc5b07de29fb75585f80c	common_voice_en_36823671.mp3	The band started to play a mix of groove metal and metalcore.	2	0			India and South Asia (India, Pakistan, Sri Lanka)		en	
1168efd12d210af0a8df744846fb026bd75a1fed81f01345f671de2cd4532ed649fb873e15fa0c01e30f398866ae16b161046393b6227d3b0b24c4fbdf2b5888	common_voice_en_37112021.mp3	The short takes place between the second and third seasons.	2	0					en	
13cc29f643e67c8227a2b9311092e9de73de30a8cf5538714151189d893372039dff33842f86a47e272d62bb0fe23a5ed667ccf11675ab2822123e38a832dc09	common_voice_en_36816299.mp3	The group sometimes refers to its fans as "zuggalos".	2	0			Brazilian		en	
